年级,单词,释义,英文句子,中文翻译
5,carefree,无忧无虑的,She had a carefree afternoon playing in the park.,她在公园里度过了一个无忧无虑的下午。
6,Communist,共产主义者,The Communist Party works for the people.,中国共产党为人民服务。
6,cordial,热情友好的,She gave me a cordial smile when we met.,我们见面时她给了我一个热情的微笑。
5,cousin,堂兄弟姐妹,My cousin visits me every weekend.,我的堂兄每个周末都来看我。
5,crane,起重机；鹤,The crane lifted the heavy box easily.,起重机轻松地吊起了那个重箱子。
5,creative,有创造力的,She has a creative mind and likes to paint colorful pictures.,她有创造性思维，喜欢画色彩鲜艳的画。
6,crucial,至关重要的,Regular exercise is crucial for good health.,经常锻炼对身体健康至关重要。
6,disgusting,令人厌恶的,The rotten food has a disgusting smell.,变质的食物有一股令人作呕的气味。
5,distract,分散注意力,Noise can distract students during class.,课堂上的噪音会分散学生的注意力。
6,disturbing,令人不安的,The movie had some disturbing scenes that scared me.,这部电影有一些令人不安的场景，吓到我了。
5,dusty,布满灰尘的,The old bookshelf in the corner looks dusty.,角落里的旧书架看起来布满灰尘。
6,educator,教育工作者,The educator helps students learn new things every day.,教师每天帮助学生学习新东西。
5,energetic,精力充沛的,She is always energetic in the morning.,她早上总是精力充沛。
4,exciting,令人兴奋的,The party was so exciting.,派对太令人兴奋了。
5,fruitful,富有成效的,Her efforts in the garden were fruitful this year.,今年她在花园里的努力取得了丰硕的成果。
6,greengrocer,蔬菜水果商,I bought fresh vegetables from the greengrocer.,我从蔬菜水果店买了新鲜的蔬菜。
5,grocer,食品杂货商,I bought some milk from the grocer yesterday.,我昨天从杂货店买了一些牛奶。
5,grocery,食品杂货店,I need to buy some grocery today.,我今天需要买些杂货。
6,homeless,无家可归的,Many people feel sad for the homeless.,很多人都为无家可归者感到难过。
5,hopeful,充满希望的,She felt hopeful about the upcoming exam.,她对即将到来的考试感到充满希望。
5,identical,完全相同的,My sister and I have identical eyes.,我和姐姐有一样的眼睛。
6,increasingly,越来越多地,People are increasingly using smartphones for daily communication.,人们越来越多地使用智能手机进行日常交流。
6,incredible,难以置信的,She told an incredible story about her trip to Africa.,她讲了一个关于她非洲之行的精彩故事。
6,indifferent,漠不关心的,She seems indifferent to the news around her.,她似乎对周围的新闻漠不关心。
6,indispensable,必不可少的,Water is indispensable for human survival.,水对人类生存而言是不可或缺的。
6,influential,有影响力的,The influential leader inspired many people with his speeches.,这位有影响力的领袖用他的演讲鼓舞了许多人。
5,informative,提供信息的,The documentary is informative and easy to understand.,这部纪录片内容丰富且易于理解。
5,jet,喷气式飞机,The jet flies high in the sky.,那架喷气式飞机在高空飞行。
5,librarian,图书管理员,The librarian helps students find books in the library.,图书管理员帮助学生在图书馆找书。
6,Marxism,马克思主义,"Marxism is a theory about society, economics and politics.",马克思主义是关于社会、经济和政治的理论。
5,memorable,值得纪念的,The trip to the mountains was memorable.,这次山区旅行令人难忘。
6,newsagent,报刊亭老板,I bought a newspaper from the newsagent this morning.,今天早上我从报刊亭买了一份报纸。
6,notorious,臭名昭著的,The city is notorious for its high crime rate.,这座城市因犯罪率高而臭名昭著。
6,overhead,在头顶上的,The overhead lights in the room are bright.,房间里的顶灯很亮。
6,overwhelm,使不知所措,The amount of work can overwhelm me sometimes.,有时候工作量会让我不知所措。
5,productive,有生产力的,She had a productive day at work.,她今天工作效率很高。
6,prone,易于遭受的,People who don't get enough sleep are prone to making mistakes.,睡眠不足的人容易犯错。
6,radiant,光芒四射的,The sun is radiant today.,今天阳光灿烂。
6,regarding,关于；至于,She asked a question regarding the upcoming meeting.,她问了一个关于即将召开的会议的问题。
6,respectively,分别；各自,Tom and Jane scored 90 and 85 respectively in the math test.,汤姆和简在数学测试中分别得了90分和85分。
5,satisfactory,令人满意的,Her work performance is satisfactory.,她的工作表现令人满意。
6,socialist,社会主义的,We should uphold socialist principles in our daily life.,我们应当在日常生活中坚持社会主义原则。
5,somehow,不知怎么地,She somehow managed to finish the project on time.,她设法按时完成了项目。
6,spectacle,壮观的场面,The fireworks created a spectacular spectacle in the night sky.,烟花在夜空中创造出壮观的景象。
6,squint,眯着眼睛看,I squint when the sun is too bright.,当阳光太刺眼时我会眯起眼睛。
6,stereo,立体声音响,I bought a new stereo for my bedroom.,我给我的卧室买了一个新的立体声音响。
5,surprising,令人惊讶的,It is surprising to see snow in May.,五月下雪真是令人惊讶。
6,tedious,冗长乏味的,Doing homework every day can be tedious.,每天做家庭作业会很乏味。
6,tiresome,令人厌烦的,The long meeting was really tiresome.,这场漫长的会议真的很令人疲倦。
6,trivial,微不足道的,Don't worry about such trivial problems.,别担心这种小问题。
6,unacceptable,不可接受的,Your behavior is unacceptable in this situation.,在这种情况下，你的行为是不可接受的。
6,unavoidable,不可避免的,Some delays are unavoidable in busy airports.,在繁忙的机场，一些延误是不可避免的。
6,unbearable,难以忍受的,The heat was unbearable during the summer afternoon.,夏日午后的炎热让人难以忍受。
5,unlikely,不太可能的,It is unlikely to rain tomorrow.,明天不太可能下雨。
6,unprecedented,前所未有的,The team achieved unprecedented success this year.,该团队今年取得了前所未有的成功。
6,upon,在……之上,She smiled upon seeing her old friend.,她见到老朋友时笑了。
6,various,各种各样的,We have various books in the library.,我们图书馆里有各种各样的书。
6,versatile,多才多艺的,She is a versatile singer who can perform various music styles.,她是一位多才多艺的歌手，能演绎多种音乐风格。
6,vigorous,精力充沛的,She takes vigorous exercise every morning to stay healthy.,她每天早上都进行剧烈运动以保持健康。
5,vital,至关重要的,Water is vital for life.,水对生命至关重要。
6,vulnerable,易受攻击的,Children are often vulnerable to illness during cold weather.,儿童在寒冷天气里往往容易生病。
5,well-known,众所周知的,He is a well-known actor in Hollywood.,他是好莱坞一位著名的演员。
5,within,在……之内,I will finish the work within an hour.,我将在一小时内完成这项工作。
4,onto,到……上,She climbed onto the roof to fix the antenna.,她爬上屋顶去修理天线。
4,paper,纸 文件,I need a paper to write on.,我需要一张纸来写字。
6,furnish,配备家具,We need to furnish the new apartment with basic furniture.,我们需要为新公寓配备基本家具。
3,speak,讲 发言,I can speak English.,我会说英语。
5,excuse,借口理由,"Excuse me, could you tell me the time?",打扰一下，你能告诉我现在几点了吗？
4,hit,打 击中,She tried to hit the target with the ball.,她试图用球击中目标。
5,acceptable,可接受的,Your proposal is acceptable to us.,您的提议我们可以接受。
6,accessible,可接近的,The library has accessible entrance for everyone.,这家图书馆设有供所有人使用的无障碍入口。
6,admission,准许进入,She is waiting for her admission letter from the university.,她正在等大学的录取通知书。
4,afford,负担得起,I can't afford this expensive book.,我买不起这本昂贵的书。
5,airline,航空公司,I booked a ticket with the airline yesterday.,我昨天向航空公司预订了一张机票。
6,airmail,航空邮件,I sent the letter by airmail to reach him faster.,我航空邮寄了这封信以便他能更快收到。
6,altitude,海拔高度,The plane is flying at a high altitude.,飞机正在高空飞行。
5,ambitious,有雄心的,She has an ambitious plan to learn three new languages this year.,她有一个雄心勃勃的计划，今年要学习三门新语言。
6,anyhow,无论如何,"I'll finish the project anyhow, even if it takes all night.",无论如何我都会完成这个项目，即使要花一整晚时间。
4,anything,任何事物,I can do anything if I try hard.,只要我努力尝试，我可以做任何事情。
5,anyway,无论如何,"Anyway, we need to finish the work today.",不管怎样，我们今天需要完成这项工作。
3,anywhere,任何地方,You can go anywhere you like.,你可以去任何你喜欢的地方。
6,astronomer,天文学家,The astronomer studies the stars every night.,这位天文学家每晚都研究星星。
5,Australia,澳大利亚,I want to visit Australia next year.,我想明年去澳大利亚旅游。
5,available,可获得的,The book is available in the library.,这本书在图书馆里可以找到。
5,aware,意识到的,She is aware of the new policy changes.,她知道新的政策变化。
6,bedclothes,床上用品,She folded the bedclothes neatly on the chair.,她把被褥整齐地叠放在椅子上。
5,bedding,床上用品,I need to buy new bedding for my bed.,我需要为我的床买新的床上用品。
6,bingo,宾果游戏,I shouted bingo when I won the game.,我赢了游戏时大喊了一声“宾果”。
6,botanical,植物学的,She enjoys visiting botanical gardens to learn about different plants.,她喜欢参观植物园来了解不同的植物。
6,bound,受束缚的,We are bound for the park this afternoon.,今天下午我们要去公园。
6,boyhood,少年时代,He often tells stories about his happy boyhood.,他经常讲述他快乐的童年往事。
6,brotherhood,兄弟情谊,The soldiers shared a strong brotherhood during their service.,士兵们在服役期间结下了深厚的兄弟情谊。
6,bureaucracy,官僚主义,Dealing with bureaucracy can sometimes slow down important projects.,与官僚机构打交道有时会拖慢重要项目的进度。
1,bus,公共汽车,I take the bus to school every day.,我每天乘公交车去上学。
4,cafeteria,自助餐厅,We often have lunch in the cafeteria.,我们经常在自助餐厅吃午餐。
5,Canadian,加拿大的,She is a Canadian student studying in Beijing.,她是一名在北京学习的加拿大留学生。
6,capable,有能力的,She is capable of solving difficult problems.,她能够解决难题。
6,casualty,伤亡人员,The accident resulted in one casualty.,这次事故造成一人伤亡。
6,CD,激光唱片,I bought a new CD yesterday.,我昨天买了一张新CD。
6,census,人口普查,The census helps the government know how many people live in each area.,人口普查帮助政府了解每个地区有多少人居住。
6,Christian,基督教徒,Christian is my good friend.,克里斯蒂安是我的好朋友。
6,coincide,同时发生,Our schedules coincide this Friday.,我们这周五的日程安排一致。
6,communism,共产主义,Communism aims for a classless society where resources are shared equally.,共产主义旨在建立一个资源平均分配的无阶级社会。
6,comparable,可比较的,These two books are comparable in quality.,这两本书在质量上不相上下。
6,competent,有能力的,She is a competent teacher who always helps students.,她是一位称职的老师，总是帮助学生。
6,complicate,使复杂化,Adding too many details can complicate the process.,添加过多细节会使流程复杂化。
5,conclude,得出结论,We need to conclude the meeting on time.,我们需要按时结束会议。
6,conscious,有意识的,She is conscious of the noise around her.,她意识到周围的噪音。
6,considerable,相当大的,She has made considerable progress in her studies.,她在学习上取得了相当大的进步。
6,controversial,有争议的,The new policy is controversial among the public.,这项新政策在公众中存在争议。
5,coverage,覆盖范围,The news program has good coverage of local events.,这个新闻节目对本地事件的报道很全面。
5,crew,全体船员,The crew worked hard to finish the project on time.,船员们努力工作以按时完成项目。
3,crossing,十字路口,She is crossing the street carefully.,她正在小心地过马路。
5,crossroads,十字路口,She stood at the crossroads unsure which path to take.,她站在十字路口，不确定该走哪条路。
6,deadline,截止日期,I must finish my homework before the deadline.,我必须在截止日期前完成作业
6,decisive,决定性的,Her decisive action solved the problem quickly.,她果断的行动迅速解决了问题。
6,demanding,要求高的,Her job is demanding but rewarding.,她的工作要求高但有意义。
6,destructive,破坏性的,The storm caused destructive damage to the small town.,暴风雨对这个小镇造成了毁灭性的破坏。
6,dioxide,二氧化物,Plants absorb carbon dioxide and release oxygen.,植物吸收二氧化碳并释放氧气。
6,disadvantage,不利条件,A disadvantage of living alone is feeling lonely sometimes.,独居的一个缺点是有时会感到孤独。
6,disastrous,灾难性的,The storm caused a disastrous flood in the village.,暴风雨在村里引发了灾难性的洪水。
6,dishonest,不诚实的,It is wrong to be dishonest with others.,对别人不诚实是错误的。
6,dissatisfy,使不满意,Her constant complaints began to dissatisfy the team members.,她不断的抱怨开始让团队成员感到不满。
6,dramatic,戏剧性的,She made a dramatic entrance at the party.,她在派对上登场时引人注目。
6,duration,持续时间,The duration of the meeting is one hour.,会议时长为一小时。
5,elaborate,详细阐述,Please elaborate on your plan for the project.,请详细阐述你对该项目的计划。
6,elastic,有弹性的,The elastic band can stretch easily.,橡皮筋很容易拉伸。
6,eligible,有资格的,Students who pass the exam are eligible for the scholarship.,通过考试的学生有资格获得奖学金。
5,email,电子邮件,I need to send an email to my friend.,我需要给我的朋友发一封电子邮件。
5,emergency,紧急情况,Please call the emergency number now.,现在请拨打紧急电话。
6,entitle,使有权利,This ticket will entitle you to a free meal.,这张票可以让你享用一顿免费餐食。
3,everything,所有事物,I want to know everything about this topic.,我想了解关于这个话题的一切。
6,experimental,实验性的,They are conducting an experimental study on new materials.,他们正在对新材料进行一项实验研究。
6,faculty,全体教员,The faculty meets every Monday to discuss school issues.,教师们每周一开会讨论学校事务。
6,faulty,有故障的,The faulty machine needs to be repaired immediately.,这台故障的机器需要立即修理。
5,favorite,最喜欢的,My favorite color is blue.,我最喜欢的颜色是蓝色。
6,fixture,固定装置,The fixture in the bathroom needs to be replaced.,浴室里的固定装置需要更换。
5,freeway,高速公路,We drove on the freeway for hours.,我们在高速公路上开了好几个小时。
1,gay,同性恋者,I have a gay friend who is very kind.,我有一个非常善良的同性恋朋友。
5,gifted,有天赋的,The gifted girl plays the piano beautifully.,那个有天赋的女孩钢琴弹得很美。
6,gossip,流言蜚语,She likes to gossip about her neighbors.,她喜欢八卦邻居们的事。
5,guideline,指导方针,You should follow the guideline when completing the task.,完成任务时你应遵循指南。
4,helpful,有帮助的,She is always helpful to others.,她总是乐于助人。
5,herb,草本植物,She uses fresh herb to flavor the soup.,她用新鲜的香草给汤调味。
5,highlight,突出显示,Please highlight the important words in the paragraph.,请高亮段落中的重要词语。
6,historian,历史学家,The historian studies ancient civilizations to understand the past.,历史学家研究古代文明以了解过去。
6,housewife,家庭主妇,My mother is a hardworking housewife.,我的妈妈是一位勤劳的家庭主妇。
5,impatient,不耐烦的,She became impatient waiting for the bus.,她等公交车等得不耐烦了。
6,indefinite,无限期的,She has an indefinite plan for the weekend.,她周末的计划不确定。
6,infectious,传染性的,Some diseases are infectious and can spread easily.,一些疾病具有传染性，并且容易传播。
6,inflation,通货膨胀,Inflation affects the prices of everyday goods.,通货膨胀影响日常商品的价格。
6,informal,非正式的,We use informal language when talking to friends.,和朋友交谈时我们使用非正式语言。
4,inside,在…里面,I can see a cat inside the box.,我能看见盒子里有一只猫。
6,installment,分期付款,I pay for my laptop in monthly installment.,我用月供的方式购买笔记本电脑。
5,invisible,看不见的,Some insects are almost invisible to the human eye.,有些昆虫几乎是人类肉眼看不见的
5,irregular,不规则的,She has an irregular schedule due to her part-time job.,她因为兼职工作有不规律的作息时间。
6,irrelevant,不相关的,Your comment is irrelevant to our discussion.,你的评论与我们的讨论无关。
6,Islam,伊斯兰教,Islam is a major world religion.,伊斯兰教是世界主要宗教之一。
5,Italian,意大利的,She loves Italian food very much.,她非常喜欢意大利食物。
5,leadership,领导能力,Good leadership helps a team achieve its goals.,良好的领导力有助于团队实现目标。
6,liable,有责任的,You are liable for any damage caused by your actions.,你对你的行为所造成的任何损害负责。
6,lifeless,无生命的,The lifeless body lay still on the cold ground.,一具毫无生气的躯体静静地躺在冰冷的地面上。
5,lifestyle,生活方式,She enjoys a healthy lifestyle with regular exercise and balanced meals.,她拥有健康的生活方式，包括定期锻炼和均衡饮食。
6,linguist,语言学家,The linguist studies different languages and their structures.,语言学家研究不同的语言及其结构。
5,loaf,一条面包,I bought a fresh loaf of bread this morning.,今天早上我买了一条新鲜的面包。
6,magistrate,地方法官,The magistrate listened to the case carefully in court.,地方法官在法庭上仔细听取了这个案件。
6,marketing,市场营销,She works in marketing for a tech company.,她在一家科技公司的市场营销部门工作。
5,marvelous,了不起的,The sunset over the ocean was marvelous.,海上的日落美极了。
6,materialism,唯物主义,Materialism often emphasizes the importance of physical possessions in life.,唯物主义常常强调物质财富在生活中的重要性。
5,membership,会员资格,I need to renew my membership before it expires next month.,我需要在下个月会员到期前续费。
6,metropolitan,大都市的,She enjoys the vibrant atmosphere of metropolitan cities.,她喜欢大都市充满活力的氛围。
5,Mexican,墨西哥的,She enjoys eating Mexican food.,她喜欢吃墨西哥食物。
6,militant,激进分子,The militant group claimed responsibility for the attack.,这个激进组织声称对此次袭击负责。
6,minority,少数民族,The minority group has its own unique traditions.,这个少数民族群体有其独特的传统。
6,motel,汽车旅馆,We stayed at a motel during our road trip.,我们在公路旅行期间住在一家汽车旅馆。
6,needless,不必要的,It is needless to argue over small things.,不必为小事争论。
6,newscast,新闻广播,I watched the newscast to get the latest updates.,我看了新闻广播以获取最新消息。
6,non-stop,不间断的,The train travels non-stop from the station to the city center.,火车从车站直达市中心。
2,nothing,没有什么,I have nothing to say.,我无话可说。
5,Olympic,奥林匹克,The Olympic Games are held every four years.,奥运会每四年举办一次。
6,orchestra,管弦乐队,The orchestra played a beautiful melody.,管弦乐队演奏了一段优美的旋律。
5,orderly,有秩序的,The students lined up in an orderly way before entering the classroom.,学生们在进教室前有序地排好了队。
4,ourselves,我们自己,We should believe in ourselves.,我们应该相信自己。
5,overnight,一夜之间,The temperature dropped overnight.,夜间温度下降了。
6,physicist,物理学家,The physicist conducted experiments in the lab.,这位物理学家在实验室里进行了实验。
5,polite,有礼貌的,"It is polite to say ""please"" when asking for help.",寻求帮助时说“请”是有礼貌的。
5,poll,民意调查,We will poll students about their favorite sports.,我们将对学生进行关于他们最喜欢的运动的民意调查。
5,portable,便携式的,I bought a portable speaker for outdoor trips.,我为户外旅行买了一个便携式音箱。
6,Portuguese,葡萄牙语,She is learning Portuguese as a new language.,她正在学习葡萄牙语作为一门新语言。
6,precaution,预防措施,Taking an umbrella is a good precaution on a cloudy day.,阴天带把伞是个好的预防措施。
6,preferable,更可取的,A quiet environment is preferable for reading.,安静的环境更适合阅读。
5,presentation,演示文稿,She will give a presentation tomorrow.,她明天将做一个演讲。
6,proficiency,熟练程度,She has a high level of proficiency in playing the piano.,她钢琴演奏水平很高。
6,proportional,成比例的,The cost is proportional to the number of items you buy.,费用与你购买的物品数量成正比。
6,psychologist,心理学家,A psychologist helps people understand their emotions and behaviors.,心理学家帮助人们理解他们的情绪和行为。
6,pullover,套头毛衣,She wears a warm pullover in winter.,她冬天穿一件暖和的套头毛衣。
6,qualify,取得资格,She needs to qualify for the competition by passing the test.,她需要通过考试才能获得比赛资格。
6,radioactive,放射性的,Some materials can be radioactive and emit harmful energy.,有些材料可能具有放射性并释放有害能量。
3,ready,准备好的,I am ready to go.,我准备好了。
6,realism,现实主义,This painting shows a strong sense of realism.,这幅画展现出强烈的现实主义感。
5,recycle,回收利用,We should recycle plastic bottles to protect the environment.,我们应该回收塑料瓶来保护环境。
6,regardless,不管怎样,She always helps others regardless of the cost.,她总是不计代价地帮助别人。
5,relate,使有联系,We need to relate these two ideas clearly.,我们需要清晰地将这两个观点联系起来。
6,reluctant,不情愿的,She was reluctant to leave her warm bed on the cold morning.,在寒冷的早晨，她不愿意离开温暖的被窝。
5,remedy,补救办法,I need to find a remedy for my headache.,我需要找个治疗头痛的方法。
6,renaissance,文艺复兴,The Renaissance was a period of great cultural change.,文艺复兴是一个文化发生巨大变革的时期。
6,republican,共和党人,A republican believes in representative government.,共和党人信奉代议制政府。
6,resort,度假胜地,We plan to stay at a beach resort during our vacation.,我们计划在假期期间住在一家海滩度假村。
5,Russian,俄罗斯的,I am learning Russian.,我正在学习俄语。
6,salesgirl,女售货员,The salesgirl helped me find a nice dress.,那个女售货员帮我找到了一条漂亮的连衣裙。
6,saleswoman,女售货员,The saleswoman helped the customer find a suitable dress.,这位女售货员帮顾客找到了一件合适的连衣裙。
5,schedule,日程安排,I need to check my schedule before making plans.,制定计划前我需要查看我的日程安排。
5,schooling,学校教育,Schooling helps children learn many important things.,学校教育帮助孩子们学习许多重要的东西。
6,senseless,无意义的,It was a senseless argument that solved nothing.,那是一场毫无意义的争论，什么问题也没解决。
5,shuttle,航天飞机,The shuttle will take us to the airport on time.,班车将准时送我们去机场。
6,sideways,向侧面地,The cat walked sideways through the narrow alley.,那只猫侧着身子穿过狭窄的小巷。
6,skyscraper,摩天大楼,The skyscraper stands tall in the city center.,这座摩天大楼矗立在市中心。
4,sociable,好交际的,She is a sociable girl who enjoys meeting new people.,她是一个喜欢结识新朋友的外向女孩。
1,socialism,社会主义,We should learn about socialism.,我们应该了解社会主义。
5,solution,解决方案,We need to find a solution to this problem.,我们需要找到这个问题的解决方案。
5,spaceship,宇宙飞船,The spaceship flies to the moon.,宇宙飞船飞向月球。
6,Spanish,西班牙语,I am learning Spanish at school.,我在学校学习西班牙语。
6,specialize,专门从事,Doctors often specialize in certain areas of medicine.,医生们常常在医学的某些领域进行专科化。
5,specify,明确说明,Please specify your preferred time for the meeting.,请指定您偏好的会议时间
6,sportswoman,女运动员,The sportswoman trains hard every day to win the competition.,这位女运动员每天刻苦训练以赢得比赛。
6,staff,工作人员,The staff are working hard today.,今天员工们工作很努力。
6,stainless,不锈钢的,This stainless cup is easy to clean.,这个不锈钢杯子容易清洗。
6,stewardess,空中小姐,The stewardess served drinks to the passengers.,空姐为乘客提供了饮料。
5,stormy,暴风雨的,We stayed indoors during the stormy afternoon.,那个暴风雨的下午我们待在了室内。
6,surgeon,外科医生,The surgeon performed the operation successfully.,外科医生成功地完成了手术。
5,teamwork,团队合作,Good teamwork helps us finish the project quickly.,良好的团队合作帮助我们快速完成项目。
5,themselves,他们自己,Children often enjoy teaching themselves new skills through play.,孩子们常常喜欢通过玩耍自学新技能。
4,throughout,自始至终,She remained calm throughout the storm.,她在暴风雨中始终保持冷静。
6,tory,托利党人,She is a member of the Tory party.,她是保守党成员
5,uncomfortable,不舒服的,This chair feels uncomfortable.,这把椅子坐起来不舒服。
6,unconditional,无条件的,Love should be unconditional and not based on conditions.,爱应该是无条件的，不应基于条件。
6,unconscious,无意识的,The patient remained unconscious after the accident.,事故发生后，患者一直处于昏迷状态。
5,unfit,不适合的,He is unfit for the job.,他不适合这份工作。
5,unfortunately,不幸的是,"Unfortunately, I missed the bus this morning.",不幸的是，我今天早上错过了公交车。
6,unjust,不公平的,It is unjust to treat people differently based on their race.,基于种族对人区别对待是不公平的
5,unkind,不友善的,It is unkind to laugh at others' mistakes.,嘲笑别人的错误是不友善的。
5,unnecessary,不必要的,We should avoid unnecessary expenses.,我们应该避免不必要的开支。
5,unpleasant,不愉快的,The smell in the room was unpleasant.,房间里的气味很难闻。
6,unreasonable,不合理的,It is unreasonable to ask for such a high price without any explanation.,没有任何解释就索要这么高的价格是不合理的。
6,unsatisfactory,不满意的,The service at the restaurant was unsatisfactory.,这家餐厅的服务令人不满意。
6,unsuitable,不合适的,This dress is unsuitable for the formal event.,这件连衣裙不适合正式场合。
5,unusual,不寻常的,She has an unusual hobby of collecting old keys.,她有一个收集旧钥匙的不寻常爱好。
4,used,使用过的,She used a pen to write the letter.,她用钢笔写了这封信。
6,valuable,有价值的,This book is valuable for learning English.,这本书对学习英语很有价值。
5,van,厢式货车,I saw a red van parked outside the store.,我看到一辆红色货车停在商店外面。
5,vending,自动售货,I bought a snack from the vending machine.,我从自动售货机买了一份零食。
4,videophone,可视电话,I used a videophone to call my friend yesterday.,我昨天用可视电话给朋友打了电话。
5,violinist,小提琴手,The violinist plays beautiful music every evening.,这位小提琴家每天晚上都演奏优美的音乐。
6,waitress,女服务员,The waitress served us delicious food.,女服务员给我们上了美味的食物。
3,whatever,无论什么,You can choose whatever you like.,你可以选择任何你喜欢的东西。
3,when,什么时候,When will the meeting start?,会议什么时候开始？
5,whenever,无论何时,"Whenever it rains, I stay at home.",每当下雨，我就待在家里。
5,wherever,无论哪里,I will follow you wherever you go.,你无论去哪里我都会跟着你。
6,whichever,无论哪个,Choose whichever option you prefer.,选择你喜欢的任何选项。
5,whoever,无论是谁,Whoever arrives first will get a prize.,谁先到谁就能得到奖品。
5,witness,目击证人,She was the only witness to the accident.,她是这场事故唯一的目击者。
5,worthless,无价值的,That broken toy is worthless now.,那个坏了的玩具现在一文不值了
4,yourselves,你们自己,Enjoy yourselves at the party.,在派对上玩得开心
5,theirs,他们的,The red car is theirs.,那辆红色的车是他们的。
3,below,在下面,The book is below the table.,书在桌子下面。
5,somewhere,在某处,I want to go somewhere quiet for vacation.,我想去一个安静的地方度假。
4,dim,昏暗的,The room has a dim light.,这个房间光线昏暗。
3,cart,购物车,I need to push the cart to the store.,我需要把购物车推到商店。
6,commission,委员会,The company will commission a new report next month.,这家公司将于下个月委托一份新报告。
5,grandchild,孙子女,My grandchild is playing in the garden.,我的孙子正在花园里玩。
6,acute,急性的,She felt an acute pain in her back.,她感到背部一阵剧烈的疼痛。
6,hind,后面的,She felt a tap on her hind leg and turned around.,她感觉后腿被轻轻拍了一下，于是转过身来。
3,able,能够的,She is able to swim fast.,她能游得很快。
3,above,在上面,The bird is flying above the tree.,那只鸟正在树上方飞翔。
5,abroad,在国外,She wants to study abroad next year.,她想明年出国留学。
6,abrupt,突然的,The meeting came to an abrupt end.,会议突然结束了。
4,absent,缺席的,She was absent from school yesterday.,她昨天没来上学。
6,absolute,绝对的,Her belief in his innocence is absolute.,她坚信他是无辜的。
